排名,学校名称,国家,国家/地区排名
901-1000,诺维萨德大学,塞尔维亚,2
901-1000,帕特雷大学,希腊,6
901-1000,普瓦捷大学,法国,25
901-1000,朴次茅斯大学,英国,59-62
901-1000,南非大学,南非,8
901-1000,大不里士大学,伊朗,7-9
901-1000,乌迪内大学,意大利,41-42
901-1000,巴利亚多利德大学,西班牙,31-36
901-1000,伍珀塔尔大学,德国,49-51
901-1000,华沙工业大学,波兰,4-8
901-1000,西挪威应用科技大学,挪威,6
901-1000,弗罗茨瓦夫医科大学,波兰,4-8
901-1000,武汉工程大学,中国,180-203
901-1000,西交利物浦大学,中国,180-203
901-1000,长江大学,中国,180-203
901-1000,烟台大学,中国,180-203
901-1000,横滨市立大学,日本,26-30
901-1000,浙江农林大学,中国,180-203
