排名,学校名称,类型,省份,分值,
432,西安文理学院,师范,陕西,41.69,
433,河南牧业经济学院,农林,河南,41.66,
433*,湖南财政经济学院,财经,湖南,41.66,
433*,江苏警官学院,政法,江苏,41.66,
434,吉林工程技术师范学院,师范,吉林,41.59,
435,曲靖师范学院,师范,云南,41.55,
435*,浙江警察学院,政法,浙江,41.55,
436,唐山师范学院,师范,河北,41.52,
436*,右江民族医学院,医药,广西,41.52,
437,衢州学院,理工,浙江,41.48,
437*,武汉商学院,财经,湖北,41.48,
437*,山东警察学院,政法,山东,41.48,
437*,四川音乐学院,艺术,四川,41.48,
438,韶关学院,综合,广东,41.46,
439,莆田学院,综合,福建,41.42,
440,山东青年政治学院,综合,山东,41.39,
440*,福建警察学院,政法,福建,41.39,
440*,星海音乐学院,艺术,广东,41.39,
441,肇庆学院,综合,广东,41.34,
442,徐州工程学院,理工,江苏,41.31,
442*,云南警官学院,政法,云南,41.31,
442*,沈阳音乐学院,艺术,辽宁,41.31,
443,湘南学院,理工,湖南,41.24,
444,玉林师范学院,师范,广西,41.21,
444*,河北金融学院,财经,河北,41.21,
445,池州学院,师范,安徽,41.18,
445*,齐齐哈尔医学院,医药,黑龙江,41.18,
445*,山东政法学院,政法,山东,41.18,
446,鞍山师范学院,师范,辽宁,41.14,
447,石家庄学院,师范,河北,41.05,
448,哈尔滨学院,综合,黑龙江,41.03,
449,嘉应学院,综合,广东,40.96,
449*,广东警官学院,政法,广东,40.96,
450,乐山师范学院,师范,四川,40.94,
451,许昌学院,理工,河南,40.93,
451*,天津音乐学院,艺术,天津,40.93,
452,西昌学院,综合,四川,40.87,
453,河西学院,综合,甘肃,40.82,
453*,牡丹江医科大学,医药,黑龙江,40.82,
454,浙大宁波理工学院,理工,浙江,40.79,
455,枣庄学院,综合,山东,40.77,
456,南昌师范学院,师范,江西,40.72,
457,喀什大学,师范,新疆,40.69,
458,平顶山学院,师范,河南,40.61,
458*,西藏藏医药大学,医药,西藏,40.61,
459,江苏第二师范学院,师范,江苏,40.56,
460,新乡学院,理工,河南,40.52,
461,宜宾学院,综合,四川,40.5,
462,南阳理工学院,理工,河南,40.43,
463,韩山师范学院,师范,广东,40.41,
464,攀枝花学院,综合,四川,40.35,
465,太原工业学院,理工,山西,40.32,
465*,江西警察学院,政法,江西,40.32,
466,咸阳师范学院,师范,陕西,40.26,
466*,吉林医药学院,医药,吉林,40.26,
466*,哈尔滨金融学院,财经,黑龙江,40.26,
466*,浙江音乐学院,艺术,浙江,40.26,
467,天津中德应用技术大学,理工,天津,40.21,
468,淮南师范学院,师范,安徽,40.18,
468*,北京警察学院,政法,北京,40.18,
469,菏泽学院,综合,山东,40.11,
469*,呼和浩特民族学院,民族,内蒙古,40.11,
470,广东第二师范学院,师范,广东,40.09,
470*,郑州警察学院,政法,河南,40.09,
471,运城学院,师范,山西,40.01,
472,宿州学院,师范,安徽,39.97,
472*,重庆警察学院,政法,重庆,39.97,
473,玉溪师范学院,师范,云南,39.91,
474,兰州城市学院,综合,甘肃,39.84,
475,辽宁科技学院,理工,辽宁,39.79,
475*,哈尔滨音乐学院,艺术,黑龙江,39.79,
476,伊犁师范大学,师范,新疆,39.75,
477,邢台学院,师范,河北,39.72,
478,浙江水利水电学院,理工,浙江,39.66,
479,黔南民族师范学院,师范,贵州,39.64,
480,贺州学院,综合,广西,39.54,
480*,河北体育学院,体育,河北,39.54,
481,安阳工学院,理工,河南,39.5,
482,廊坊师范学院,师范,河北,39.46,
483,渭南师范学院,师范,陕西,39.41,
484,山东女子学院,综合,山东,39.37,
485,山东管理学院,综合,山东,39.27,
486,红河学院,综合,云南,39.15,
486*,河南警察学院,政法,河南,39.15,
487,赤峰学院,综合,内蒙古,39.13,
488,郑州师范学院,师范,河南,39.06,
488*,内蒙古艺术学院,艺术,内蒙古,39.06,
489,兰州工业学院,理工,甘肃,39.01,
490,保定学院,师范,河北,38.97,
490*,南昌医学院,医药,江西,38.97,
490*,福建商学院,财经,福建,38.97,
491,长沙师范学院,师范,湖南,38.89,
492,蚌埠学院,理工,安徽,38.79,
493,西安航空学院,理工,陕西,38.75,
493*,湖南警察学院,政法,湖南,38.75,
494,湖州学院,师范,浙江,38.69,
494*,湖南女子学院,语言,湖南,38.69,
495,唐山学院,理工,河北,38.64,
496,济宁学院,师范,山东,38.54,
497,宁德师范学院,师范,福建,38.42,
498,四川文理学院,综合,四川,38.38,
499,阿坝师范学院,师范,四川,38.35,
500,河南工程学院,理工,河南,38.32,
501,宿迁学院,综合,江苏,38.23,
501*,上海健康医学院,医药,上海,38.23,
501*,河南财政金融学院,财经,河南,38.23,
502,齐鲁师范学院,师范,山东,38.17,
503,重庆第二师范学院,师范,重庆,38.09,
504,荆楚理工学院,理工,湖北,38.03,
504*,湖北警官学院,政法,湖北,38.03,
505,山东农业工程学院,综合,山东,37.9,
506,武夷学院,综合,福建,37.82,
506*,上海公安学院,政法,上海,37.82,
507,河南城建学院,理工,河南,37.78,
508,泰州学院,师范,江苏,37.71,
509,忻州师范学院,师范,山西,37.66,
510,信阳农林学院,农林,河南,37.56,
511,萍乡学院,综合,江西,37.48,
511*,山西警察学院,政法,山西,37.48,
512,陇东学院,师范,甘肃,37.44,
513,楚雄师范学院,师范,云南,37.37,
514,凯里学院,综合,贵州,37.32,
515,山东石油化工学院,理工,山东,37.24,
516,吉林农业科技学院,农林,吉林,37.19,
516*,安徽艺术学院,艺术,安徽,37.19,
517,湖南工学院,理工,湖南,37.15,
517*,辽宁警察学院,政法,辽宁,37.15,
518,无锡学院,综合,江苏,37.08,
519,邯郸学院,师范,河北,36.93,
520,呼伦贝尔学院,综合,内蒙古,36.87,
520*,广西警察学院,政法,广西,36.87,
521,黑河学院,综合,黑龙江,36.78,
522,新余学院,综合,江西,36.7,
523,南京特殊教育师范学院,师范,江苏,36.62,
524,沧州师范学院,师范,河北,36.59,
524*,吉林警察学院,政法,吉林,36.59,
525,苏州城市学院,综合,江苏,36.52,
525*,湖南医药学院,医药,湖南,36.52,
526,衡水学院,师范,河北,36.46,
527,晋中学院,师范,山西,36.38,
527*,新疆警察学院,政法,新疆,36.38,
528,景德镇学院,综合,江西,36.25,
528*,厦门医学院,医药,福建,36.25,
529,大庆师范学院,综合,黑龙江,36.18,
529*,嘉兴南湖学院,财经,浙江,36.18,
529*,贵州警察学院,政法,贵州,36.18,
530,绥化学院,综合,黑龙江,36.11,
531,河北民族师范学院,师范,河北,36.03,
532,安顺学院,综合,贵州,35.98,
533,六盘水师范学院,师范,贵州,35.88,
533*,山西传媒学院,艺术,山西,35.88,
534,吕梁学院,综合,山西,35.81,
534*,吉林工商学院,财经,吉林,35.81,
535,桂林航天工业学院,理工,广西,35.76,
536,福建技术师范学院,师范,福建,35.68,
536*,新疆政法学院,政法,新疆,35.68,
537,安康学院,综合,陕西,35.53,
538,梧州学院,综合,广西,35.47,
539,白城师范学院,师范,吉林,35.41,
540,山西工程技术学院,理工,山西,35.35,
540*,福建江夏学院,财经,福建,35.35,
541,河池学院,综合,广西,35.19,
542,温州理工学院,理工,浙江,35.13,
543,广州航海学院,理工,广东,35.09,
543*,甘肃医学院,医药,甘肃,35.09,
544,四川旅游学院,综合,四川,34.97,
545,贵州工程应用技术学院,师范,贵州,34.94,
546,四川民族学院,师范,四川,34.81,
547,辽东学院,综合,辽宁,34.74,
547*,新疆艺术学院,艺术,新疆,34.74,
548,百色学院,综合,广西,34.65,
549,郑州工程技术学院,理工,河南,34.62,
550,张家口学院,综合,河北,34.53,
550+,河北水利电力学院,理工,河北,-,
550+,长治学院,师范,山西,-,
550+,朝阳师范学院,师范,辽宁,-,
550+,汉江师范学院,师范,湖北,-,
550+,广西民族师范学院,师范,广西,-,
550+,兴义民族师范学院,师范,贵州,-,
550+,昭通学院,师范,云南,-,
550+,普洱学院,综合,云南,-,
550+,保山学院,师范,云南,-,
550+,新疆和田学院,综合,新疆,-,
550+,新疆工程学院,理工,新疆,-,
550+,昌吉学院,综合,新疆,-,
550+,太原学院,综合,山西,-,
550+,河南工学院,理工,河南,-,
550+,商洛学院,综合,陕西,-,
550+,集宁师范学院,师范,内蒙古,-,
550+,黑龙江工业学院,综合,黑龙江,-,
550+,广西科技师范学院,师范,广西,-,
550+,文山学院,师范,云南,-,
550+,甘肃民族师范学院,师范,甘肃,-,
550+,兰州文理学院,综合,甘肃,-,
550+,河套学院,综合,内蒙古,-,
550+,贵州商学院,财经,贵州,-,
550+,陇南师范学院,师范,甘肃,-,
550+,首钢工学院,理工,北京,-,
550+,桂林旅游学院,财经,广西,-,
550+,长沙工业学院,理工,湖南,-,
550+,甘肃警察学院,政法,甘肃,-,
550+,邢台医学院,医药,河北,-,
550+,亳州学院,师范,安徽,-,
550+,赣东学院,理工,江西,-,
550+,赣南科技学院,理工,江西,-,
550+,山西工学院,理工,山西,-,
550+,山西电子科技学院,理工,山西,-,
550+,新疆理工学院,理工,新疆,-,
550+,新疆第二医学院,医药,新疆,-,
550+,新疆科技学院,理工,新疆,-,
550+,山西科技学院,理工,山西,-,
550+,合肥理工学院,理工,安徽,-,
550+,豫章师范学院,师范,江西,-,
550+,肇庆医学院,医药,广东,-,
550+,琼台师范学院,师范,海南,-,
550+,陕西警察学院,政法,陕西,-,
